material,tool_material,coolant,tool_diameter_mm,num_flutes,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,rpm,table_feed_mm_min,mrr_cm3_min,torque_Nm,tool_life_min,machining_time_min,VB_mm
SKD11,cbn,oil,25,6,111.5,0.076,1.18,2.46,1420.0,652.0,1.89,636.44,16.1,5.2,0.0978
FC250,cbn,dry,16,3,157.5,0.094,9.43,27.02,3133.0,886.0,225.87,13770.94,11.4,1.2,0.0521
S45C,hss,water_soluble,25,2,177.3,0.295,1.22,1.46,2257.0,1332.0,2.37,333.94,4.8,1.8,0.1119
SUS304,cbn,dry,25,4,57.0,0.066,3.45,4.04,726.0,190.0,2.65,1454.24,479.5,97.4,0.0766
S45C,cbn,oil,6,6,141.1,0.123,8.19,20.0,7486.0,5543.0,907.64,38592.04,23.8,15.1,0.171
SKD11,cermet,water_soluble,25,6,36.4,0.072,0.34,0.97,463.0,199.0,0.07,67.83,507.9,132.1,0.087
A5052,carbide,oil,12,3,339.9,0.179,9.07,1.31,9017.0,4840.0,57.69,814.59,6.6,3.5,0.1299
S45C,cermet,water_soluble,12,3,126.2,0.291,4.84,12.32,3347.0,2925.0,174.47,16595.2,17.8,14.0,0.2205
SKD11,hss,dry,8,4,94.3,0.025,1.32,2.0,3753.0,380.0,1.0,127.16,5.4,2.0,0.0954
S45C,cermet,water_soluble,20,6,89.9,0.279,4.7,3.76,1431.0,2393.0,42.35,9421.6,73.2,82.1,0.4623
SKD11,cbn,dry,10,2,79.9,0.1,1.37,1.4,2543.0,506.0,0.97,182.66,44.9,19.1,0.1067
S45C,hss,oil,16,4,246.5,0.094,0.66,1.64,4904.0,1841.0,2.0,129.65,4.8,3.2,0.1869
SUS304,hss,oil,8,6,113.5,0.038,2.06,4.06,4516.0,1022.0,8.54,752.31,9.2,7.6,0.1903
SUS304,carbide,dry,12,2,108.6,0.19,3.0,3.8,2880.0,1094.0,12.5,1727.15,8.2,5.8,0.2138
A5052,carbide,water_soluble,20,3,378.0,0.143,4.47,3.27,6016.0,2581.0,37.77,799.35,5.8,4.7,0.1998
SUS304,cermet,water_soluble,12,3,134.5,0.034,4.13,3.85,3567.0,363.0,5.77,644.1,14.2,11.1,0.2288
FC250,carbide,water_soluble,10,2,196.1,0.187,4.52,7.93,6242.0,2335.0,83.73,2561.83,5.2,1.7,0.0896
SKD11,cermet,water_soluble,6,3,91.2,0.116,0.87,1.29,4838.0,1686.0,1.89,186.68,27.7,13.6,0.1285
A5052,carbide,dry,20,4,153.8,0.457,1.82,2.09,2448.0,4479.0,17.05,886.78,37.2,26.0,0.1937
SKD11,carbide,mql,6,4,84.2,0.092,0.8,2.29,4468.0,1644.0,2.99,319.43,31.1,18.9,0.1432
SUS304,carbide,mql,8,3,138.8,0.09,0.85,0.79,5521.0,1485.0,1.0,72.17,9.2,2.0,0.064
SKD11,cermet,oil,20,4,65.7,0.136,0.61,1.18,1046.0,569.0,0.41,187.59,165.8,171.8,0.3743
S45C,cbn,mql,16,6,247.6,0.238,4.07,1.48,4926.0,7045.0,42.45,2742.96,5.1,3.2,0.1888
A5052,carbide,water_soluble,25,2,291.8,0.307,11.24,23.13,3716.0,2283.0,593.7,20344.74,6.2,5.4,0.2032
S45C,cbn,dry,12,2,128.6,0.267,2.62,7.6,3410.0,1822.0,36.35,3392.47,21.0,2.0,0.049
SKD11,cbn,dry,6,2,36.6,0.092,2.91,4.81,1944.0,358.0,5.01,1231.79,519.6,136.9,0.0867
A5052,cermet,mql,12,6,165.9,0.176,14.28,26.76,4401.0,4659.0,1780.54,51514.69,37.8,13.3,0.0946
SUS304,cermet,oil,10,3,72.9,0.075,1.99,1.92,2322.0,524.0,2.01,344.49,214.1,72.6,0.0987
SKD11,cermet,dry,16,4,44.6,0.138,2.5,7.16,888.0,492.0,8.81,4736.3,500.6,25.7,0.0258
A5052,carbide,water_soluble,6,4,159.2,0.219,12.25,29.62,8447.0,7414.0,2691.1,40562.06,38.9,18.4,0.1517
A5052,carbide,water_soluble,25,3,172.2,0.067,2.44,0.59,2193.0,438.0,0.63,36.82,121.4,78.3,0.1865
A5052,carbide,mql,20,2,419.1,0.475,12.82,7.8,6671.0,6339.0,633.64,12093.86,4.6,5.3,0.5089
S45C,carbide,dry,8,3,185.1,0.14,1.58,3.35,7364.0,3083.0,16.28,703.72,5.3,3.8,0.2101
FC250,carbide,oil,25,2,185.2,0.151,1.77,0.64,2358.0,712.0,0.81,65.27,9.7,8.5,0.2036
FC250,hss,oil,8,6,153.0,0.209,5.77,2.03,6087.0,7638.0,89.48,2807.7,5.0,3.3,0.1961
SUS304,cbn,water_soluble,12,6,145.0,0.055,4.65,7.13,3845.0,1269.0,42.09,4355.85,11.1,13.1,0.53
SKD11,hss,mql,25,4,82.2,0.064,1.7,2.62,1046.0,270.0,1.2,549.78,10.2,8.2,0.19
S45C,cbn,dry,10,2,160.6,0.217,2.14,1.64,5111.0,2217.0,7.75,482.93,9.8,4.0,0.1062
SKD11,hss,water_soluble,8,2,78.1,0.066,2.7,1.48,3107.0,412.0,1.65,253.26,14.8,2.5,0.0617
A5052,cbn,dry,16,6,171.4,0.175,12.19,22.57,3409.0,3572.0,982.81,36702.52,35.7,16.5,0.1298
SUS304,cermet,mql,10,4,103.1,0.152,0.59,0.69,3283.0,2002.0,0.82,99.15,42.2,42.9,0.3396
FC250,carbide,oil,16,6,133.7,0.183,2.8,2.63,2660.0,2923.0,21.55,1547.36,20.2,8.5,0.11
SUS304,hss,dry,6,2,73.3,0.088,2.53,3.02,3890.0,687.0,5.24,535.52,27.8,19.9,0.2037
S45C,cermet,mql,10,6,144.4,0.134,9.05,16.69,4596.0,3705.0,559.29,38734.43,10.4,4.8,0.147
SKD11,hss,water_soluble,20,3,43.8,0.052,0.65,0.77,696.0,109.0,0.05,37.28,467.3,269.1,0.1374
A5052,cbn,dry,10,6,393.9,0.499,13.5,17.49,12539.0,37525.0,8861.82,89982.22,4.5,5.3,0.526
A5052,hss,water_soluble,16,3,401.5,0.291,7.41,18.72,7987.0,6967.0,966.79,15412.4,5.5,5.0,0.2141
FC250,carbide,dry,10,4,93.8,0.203,3.24,5.86,2985.0,2420.0,45.99,2942.47,39.2,25.5,0.1514
SUS304,cermet,oil,12,2,104.9,0.123,1.25,2.72,2782.0,686.0,2.33,333.28,31.3,1.1,0.014
A5052,hss,mql,10,2,475.3,0.424,14.49,4.17,15130.0,12824.0,774.41,6516.79,4.7,2.8,0.1802
FC250,cermet,water_soluble,16,2,96.8,0.249,2.42,1.6,1925.0,958.0,3.71,368.25,90.8,72.8,0.2115
FC250,carbide,water_soluble,10,2,150.6,0.221,4.79,10.41,4794.0,2116.0,105.58,4206.6,10.5,9.7,0.2433
S45C,carbide,water_soluble,25,4,146.6,0.183,1.13,1.16,1866.0,1366.0,1.8,307.16,18.6,8.1,0.1326
SUS304,cermet,dry,12,2,129.4,0.135,2.81,7.58,3433.0,930.0,19.78,2293.36,4.7,2.4,0.1336
S45C,hss,dry,20,2,176.9,0.241,8.83,9.39,2815.0,1355.0,112.32,12699.63,4.6,4.8,0.3105
SKD11,cermet,water_soluble,10,4,73.8,0.073,2.36,0.58,2348.0,687.0,0.94,191.48,87.8,75.7,0.2253
FC250,cbn,oil,20,4,189.0,0.196,4.31,6.24,3008.0,2357.0,63.35,4022.12,9.5,7.1,0.1978
S45C,carbide,mql,16,6,203.4,0.198,1.47,4.1,4047.0,4814.0,29.0,2280.76,4.5,3.9,0.2355
SUS304,carbide,oil,6,3,57.7,0.048,4.25,11.66,3063.0,438.0,21.72,2821.94,473.6,50.5,0.0422
S45C,carbide,mql,16,2,132.9,0.107,6.27,7.45,2645.0,565.0,26.43,3180.28,15.1,14.5,0.2755
A5052,cbn,dry,8,4,338.1,0.464,5.52,6.07,13452.0,24964.0,837.32,7925.23,5.0,2.1,0.1201
A5052,hss,dry,16,4,352.2,0.124,0.99,1.27,7006.0,3489.0,4.39,79.84,4.8,2.0,0.1116
S45C,cbn,water_soluble,16,6,243.4,0.087,4.44,1.59,4842.0,2532.0,17.92,1177.85,5.0,4.0,0.1818
A5052,cbn,dry,20,6,464.3,0.142,3.26,0.84,7390.0,6310.0,17.3,298.07,5.1,1.3,0.0904
SUS304,hss,oil,6,6,94.1,0.098,2.93,1.79,4991.0,2939.0,15.39,1226.79,13.9,15.8,0.4511
SUS304,cbn,oil,25,2,102.7,0.166,4.9,12.43,1307.0,434.0,26.45,8051.87,30.8,20.9,0.1676
A5052,cbn,water_soluble,12,4,358.3,0.203,8.76,23.37,9503.0,7704.0,1576.71,21124.43,9.2,9.0,0.3316
A5052,cermet,dry,8,4,480.5,0.113,6.39,6.55,19120.0,8680.0,363.52,2420.7,5.1,4.8,0.2769
SKD11,cbn,dry,10,3,87.9,0.112,2.75,5.34,2797.0,936.0,13.74,2346.05,21.2,9.9,0.1129
FC250,carbide,water_soluble,12,3,129.1,0.188,4.64,4.45,3425.0,1932.0,39.96,2228.08,23.4,4.8,0.0774
A5052,hss,mql,8,2,429.9,0.241,0.83,1.03,17107.0,8257.0,7.03,52.34,4.9,2.1,0.1259
FC250,hss,oil,16,3,188.1,0.223,6.99,17.34,3742.0,2501.0,303.12,15472.57,5.1,2.4,0.1348
S45C,hss,oil,25,3,202.4,0.077,1.83,1.82,2577.0,593.0,1.97,243.24,5.2,2.3,0.1311
SKD11,cbn,oil,8,6,112.3,0.074,1.27,2.22,4468.0,1996.0,5.64,603.1,15.8,4.3,0.0752
A5052,hss,water_soluble,25,6,286.3,0.18,5.66,12.34,3645.0,3934.0,274.75,9598.03,5.1,3.4,0.1893
SKD11,cermet,water_soluble,6,3,54.3,0.09,0.65,1.73,2880.0,779.0,0.88,146.02,545.5,47.2,0.0404
SUS304,carbide,water_soluble,8,2,57.5,0.154,2.63,5.58,2288.0,704.0,10.33,1796.77,392.4,245.9,0.1843
FC250,cbn,oil,6,2,80.6,0.076,3.49,8.55,4278.0,648.0,19.33,863.01,378.8,207.5,0.1515
FC250,hss,dry,20,6,184.8,0.233,8.16,16.3,2940.0,4112.0,547.12,35536.5,5.3,2.4,0.1247
A5052,hss,water_soluble,25,3,480.4,0.068,10.73,27.79,6117.0,1243.0,370.77,7717.69,5.1,5.7,0.373
SKD11,cbn,water_soluble,25,3,47.3,0.035,1.38,3.4,603.0,63.0,0.3,235.11,455.5,137.1,0.093
S45C,hss,mql,10,6,142.0,0.19,5.07,13.52,4520.0,5157.0,353.49,24893.6,4.9,3.0,0.1678
S45C,cermet,water_soluble,12,3,192.5,0.234,5.44,7.25,5106.0,3591.0,141.77,8838.3,4.9,3.3,0.2041
A5052,cbn,water_soluble,12,2,335.1,0.473,12.08,29.94,8890.0,8402.0,3039.31,43531.7,6.6,3.8,0.1557
S45C,cermet,dry,12,2,126.2,0.15,1.37,1.72,3347.0,1001.0,2.36,223.97,23.7,1.1,0.0205
SUS304,cermet,oil,6,4,73.4,0.037,0.38,1.14,3892.0,578.0,0.25,25.98,488.4,204.2,0.1098
SUS304,carbide,water_soluble,10,3,75.9,0.13,4.92,13.1,2416.0,943.0,60.72,9999.84,88.5,18.6,0.0813
A5052,cermet,dry,10,3,443.2,0.154,12.54,4.05,14109.0,6508.0,330.63,2983.77,4.9,1.2,0.089
SKD11,carbide,oil,16,4,117.2,0.135,2.8,8.35,2332.0,1258.0,29.4,6020.45,4.9,4.7,0.2828
A5052,cermet,mql,20,2,228.6,0.151,8.29,14.94,3638.0,1096.0,135.77,4752.22,17.9,19.0,0.3364
FC250,carbide,water_soluble,6,2,85.3,0.263,0.84,1.16,4527.0,2381.0,2.31,97.6,159.0,54.4,0.0945
A5052,carbide,dry,16,2,323.6,0.086,3.69,7.73,6437.0,1113.0,31.77,628.33,7.3,4.8,0.1768
SKD11,cbn,oil,6,3,81.4,0.106,1.72,4.54,4319.0,1375.0,10.74,1187.01,62.5,65.3,0.3176
A5052,cbn,dry,25,4,397.9,0.427,10.61,20.56,5067.0,8647.0,1887.18,47425.37,5.3,1.8,0.1159
SUS304,carbide,mql,25,4,137.9,0.031,4.15,3.23,1756.0,217.0,2.91,660.22,8.1,5.8,0.2064
FC250,cbn,oil,25,3,114.4,0.204,9.82,18.8,1457.0,893.0,164.84,21605.53,44.2,29.1,0.1914
A5052,hss,mql,20,2,339.4,0.483,5.46,10.54,5402.0,5222.0,300.41,7079.95,4.6,5.2,0.4939
SUS304,cermet,mql,20,3,66.6,0.161,3.63,5.42,1061.0,512.0,10.09,3783.53,163.5,167.4,0.3701
SKD11,cermet,dry,6,3,88.3,0.097,1.27,0.72,4683.0,1367.0,1.25,127.47,17.4,17.3,0.272
SUS304,hss,oil,25,4,96.9,0.191,0.78,2.07,1233.0,940.0,1.52,490.41,12.6,5.2,0.1311
FC250,hss,mql,16,4,112.8,0.288,1.94,2.79,2244.0,2582.0,13.96,1188.18,9.8,7.9,0.2036
S45C,carbide,mql,10,6,133.0,0.13,7.38,16.64,4235.0,3308.0,406.41,30549.79,13.9,12.2,0.228
FC250,cermet,mql,25,4,196.2,0.096,8.75,20.5,2498.0,963.0,172.79,13211.46,5.5,5.3,0.2751
FC250,carbide,dry,20,4,190.5,0.204,8.07,11.91,3032.0,2476.0,237.95,14988.76,4.6,4.1,0.2237
S45C,cermet,mql,16,2,190.8,0.131,6.11,8.22,3795.0,998.0,50.11,4203.03,4.5,1.3,0.0875
A5052,carbide,water_soluble,6,2,451.0,0.401,1.07,1.81,23929.0,19188.0,37.29,198.41,4.6,3.6,0.1753
FC250,cermet,water_soluble,6,2,147.2,0.052,3.6,5.83,7807.0,819.0,17.21,420.92,32.4,2.3,0.0274
SUS304,hss,mql,12,2,70.1,0.148,4.16,0.99,1859.0,550.0,2.27,486.32,42.7,7.2,0.0687
S45C,hss,water_soluble,8,6,88.8,0.185,7.24,18.97,3535.0,3930.0,539.56,48589.54,20.5,9.0,0.1369
A5052,cermet,dry,6,6,341.7,0.418,7.06,13.81,18125.0,45435.0,4427.88,31104.03,5.2,1.4,0.0746
FC250,carbide,water_soluble,16,4,184.6,0.105,9.77,10.21,3673.0,1540.0,153.55,7984.52,6.1,1.3,0.0635
SUS304,cbn,oil,10,4,83.2,0.122,2.62,1.1,2649.0,1295.0,3.73,560.09,143.3,72.5,0.1282
FC250,carbide,oil,12,6,195.3,0.154,8.54,16.29,5180.0,4786.0,665.88,24549.41,5.3,3.7,0.1888
A5052,cermet,water_soluble,8,6,303.5,0.376,7.56,19.86,12076.0,27271.0,4093.54,43158.66,6.4,2.9,0.1297
SKD11,cermet,mql,12,6,86.1,0.102,2.25,1.32,2283.0,1399.0,4.17,872.0,26.4,20.4,0.1959
SUS304,cbn,water_soluble,25,3,135.4,0.114,1.46,3.88,1724.0,588.0,3.34,770.52,16.4,7.7,0.1359
S45C,cbn,water_soluble,12,6,244.8,0.115,6.74,6.91,6494.0,4462.0,207.85,10188.68,4.9,2.2,0.1152
SUS304,cbn,oil,6,2,67.0,0.118,1.88,4.77,3553.0,841.0,7.56,846.44,432.3,185.5,0.1302
FC250,cermet,water_soluble,12,6,152.7,0.139,5.57,13.17,4050.0,3382.0,247.98,11695.5,15.0,15.7,0.3204
SKD11,cermet,oil,6,4,118.8,0.036,0.85,0.61,6303.0,907.0,0.47,35.26,10.4,3.1,0.0797
S45C,carbide,mql,10,3,87.1,0.087,9.87,28.6,2771.0,724.0,204.47,23484.57,83.6,64.4,0.2257
A5052,hss,mql,8,3,383.4,0.113,0.93,1.21,15255.0,5164.0,5.84,48.72,5.2,1.9,0.0953
SKD11,cermet,oil,8,4,108.1,0.043,2.14,5.46,4302.0,741.0,8.65,959.94,11.6,7.4,0.1784
S45C,cermet,mql,20,2,238.3,0.222,6.93,4.87,3792.0,1687.0,56.94,4779.74,5.2,4.0,0.1947
SUS304,hss,dry,6,2,54.8,0.196,2.21,5.84,2908.0,1141.0,14.75,2017.95,79.9,71.0,0.2539
SKD11,hss,oil,25,4,113.3,0.077,2.72,7.23,1443.0,444.0,8.75,2896.61,5.4,3.0,0.1456
S45C,carbide,mql,16,2,187.1,0.202,5.85,6.99,3723.0,1507.0,61.66,5272.26,5.1,3.8,0.1935
SUS304,cbn,mql,16,3,66.8,0.139,3.87,6.06,1330.0,555.0,13.02,3895.66,334.2,254.3,0.2258
SKD11,hss,water_soluble,25,4,64.2,0.072,1.82,3.15,818.0,235.0,1.35,789.57,49.0,48.0,0.3009
A5052,cbn,water_soluble,25,2,437.8,0.244,13.5,2.6,5575.0,2719.0,95.56,2182.61,5.2,3.0,0.143
SKD11,hss,mql,10,2,39.1,0.083,0.92,1.14,1245.0,207.0,0.22,83.41,530.3,162.2,0.0882
FC250,hss,oil,25,4,128.0,0.294,8.32,13.28,1630.0,1918.0,211.88,24831.9,5.4,5.3,0.2693
S45C,hss,water_soluble,6,6,123.6,0.291,5.09,12.41,6558.0,11440.0,723.33,35108.89,4.5,3.8,0.2426
SKD11,hss,dry,16,3,50.5,0.048,1.91,2.65,1005.0,143.0,0.73,345.07,126.1,54.1,0.1129
SKD11,cermet,oil,10,6,95.9,0.131,2.08,5.15,3052.0,2392.0,25.61,4006.81,11.8,6.6,0.1369
S45C,cbn,dry,25,4,226.7,0.104,1.41,0.59,2886.0,1203.0,1.0,109.95,5.1,3.8,0.1811
SKD11,carbide,water_soluble,10,3,74.7,0.148,0.58,1.37,2378.0,1059.0,0.84,169.04,68.5,59.3,0.2323
FC250,hss,mql,12,6,152.4,0.134,9.1,21.21,4042.0,3257.0,628.94,29716.2,5.1,4.1,0.2023
S45C,cbn,oil,16,6,140.3,0.067,5.43,1.57,2792.0,1128.0,9.61,1095.36,39.8,26.2,0.1971
SUS304,cbn,oil,12,3,73.1,0.108,1.19,0.66,1939.0,626.0,0.49,101.53,388.9,298.6,0.1992
FC250,cermet,oil,6,4,147.5,0.289,2.17,4.64,7824.0,9057.0,90.95,2220.11,15.6,2.7,0.0615
FC250,carbide,dry,12,4,159.8,0.249,9.31,6.93,4239.0,4219.0,272.36,12272.41,4.7,5.5,0.6281
FC250,carbide,water_soluble,6,2,160.6,0.073,2.94,7.06,8519.0,1248.0,25.92,580.99,19.2,18.2,0.2768
FC250,carbide,mql,6,2,111.6,0.14,1.33,3.78,5919.0,1658.0,8.34,269.25,52.1,25.4,0.1343
FC250,hss,mql,12,3,99.4,0.247,5.96,10.34,2637.0,1951.0,120.23,8708.04,10.8,5.8,0.1486
SKD11,cbn,oil,12,3,109.0,0.133,2.46,5.93,2892.0,1152.0,16.78,2770.82,8.8,4.9,0.1365
SUS304,cbn,oil,16,3,145.7,0.127,4.68,8.29,2899.0,1108.0,43.05,5908.7,6.3,5.0,0.1852
SKD11,cermet,mql,16,3,115.8,0.127,2.07,1.19,2303.0,879.0,2.17,449.53,5.0,2.2,0.1078
FC250,cermet,dry,12,4,131.9,0.128,5.31,7.28,3499.0,1791.0,69.2,3777.25,15.3,4.7,0.098
FC250,cbn,mql,20,4,126.4,0.191,2.32,1.87,2011.0,1538.0,6.67,633.64,55.8,41.9,0.1862
A5052,carbide,mql,12,2,176.1,0.402,4.35,2.73,4672.0,3758.0,44.61,1215.78,29.4,35.1,0.6161
FC250,cermet,water_soluble,12,4,154.9,0.182,4.55,2.22,4108.0,2987.0,30.13,1400.61,14.9,4.3,0.0856
FC250,hss,oil,20,4,101.2,0.147,9.66,7.58,1611.0,946.0,69.2,8203.43,12.5,12.1,0.278
SUS304,cermet,mql,16,3,111.9,0.085,4.22,8.15,2226.0,568.0,19.54,3492.33,15.5,1.8,0.0462
S45C,cermet,mql,12,3,157.2,0.261,1.43,2.35,4171.0,3267.0,11.01,839.98,10.4,9.5,0.2355
S45C,carbide,dry,6,6,226.1,0.148,9.58,4.26,11996.0,10660.0,435.39,11552.66,4.8,4.3,0.2242
SKD11,carbide,oil,25,3,113.7,0.053,2.39,6.0,1448.0,230.0,3.29,1084.74,6.0,3.8,0.1566
S45C,cermet,mql,16,6,168.1,0.088,7.51,11.78,3345.0,1757.0,155.3,14779.49,6.9,1.6,0.0817
SKD11,cbn,dry,25,3,39.5,0.025,1.62,2.19,503.0,37.0,0.13,125.71,549.2,291.3,0.1659
A5052,cermet,mql,8,3,210.9,0.094,10.07,23.05,8393.0,2374.0,551.21,8362.05,26.1,16.6,0.1919
S45C,carbide,oil,6,2,193.4,0.053,2.93,2.66,10263.0,1080.0,8.4,260.56,8.4,5.3,0.1918
SUS304,carbide,dry,25,6,79.3,0.197,3.13,5.68,1009.0,1191.0,21.15,8334.67,39.8,31.7,0.1858
S45C,cermet,oil,6,3,118.2,0.143,4.6,6.35,6270.0,2691.0,78.68,3994.24,35.3,10.9,0.0838
A5052,hss,water_soluble,6,6,376.0,0.179,12.33,25.91,19949.0,21385.0,6832.51,43607.86,5.4,2.4,0.1349
SKD11,hss,dry,20,3,97.3,0.093,0.71,0.59,1549.0,430.0,0.18,54.9,5.5,6.2,0.4008
SUS304,hss,water_soluble,25,6,118.5,0.046,4.84,7.34,1509.0,413.0,14.67,3866.64,4.8,3.0,0.1798
S45C,cermet,mql,25,2,130.6,0.191,7.04,18.52,1663.0,636.0,82.97,15884.27,14.6,3.7,0.0793
S45C,cermet,water_soluble,8,4,229.8,0.119,2.34,6.24,9145.0,4371.0,63.92,2224.77,4.8,4.5,0.2812
A5052,cbn,oil,8,3,274.4,0.403,8.54,0.63,10917.0,13190.0,71.08,828.96,14.4,13.2,0.2172
SUS304,carbide,water_soluble,10,2,117.8,0.159,4.26,6.27,3751.0,1190.0,31.76,3369.07,8.9,4.7,0.153
SUS304,cermet,oil,16,3,109.3,0.097,2.24,4.83,2175.0,630.0,6.81,1245.43,25.4,11.5,0.1393
FC250,carbide,mql,8,4,184.9,0.178,7.37,2.75,7357.0,5225.0,105.97,2750.71,5.2,1.3,0.079
SUS304,cbn,mql,16,6,52.3,0.085,3.29,1.9,1040.0,529.0,3.3,1263.31,528.5,212.6,0.1263
A5052,cermet,water_soluble,12,2,201.6,0.198,6.79,2.26,5348.0,2114.0,32.48,773.33,36.5,32.5,0.2624
FC250,hss,water_soluble,25,3,100.8,0.209,5.21,3.2,1284.0,806.0,13.45,2000.82,16.7,15.2,0.2553
SUS304,cermet,water_soluble,6,3,68.4,0.092,1.87,0.63,3631.0,998.0,1.18,129.76,364.9,82.6,0.0752
SKD11,cbn,water_soluble,16,6,35.1,0.131,0.83,1.25,697.0,548.0,0.57,390.19,530.3,138.0,0.0823
SUS304,cermet,oil,20,2,122.8,0.114,2.35,5.29,1954.0,447.0,5.56,1132.23,11.6,8.9,0.1799
FC250,cermet,water_soluble,12,4,194.8,0.067,1.04,1.24,5167.0,1390.0,1.8,66.43,16.7,18.3,0.373
SUS304,carbide,water_soluble,8,3,76.8,0.057,4.31,1.08,3056.0,519.0,2.41,313.76,157.4,66.0,0.1136
A5052,cbn,oil,25,6,464.9,0.06,10.12,28.92,5920.0,2125.0,622.16,13381.5,7.3,1.4,0.0653
S45C,carbide,oil,6,4,246.5,0.086,7.39,4.64,13078.0,4512.0,154.76,3766.72,4.8,5.5,0.5492
SKD11,carbide,water_soluble,25,2,43.6,0.049,0.9,2.38,555.0,55.0,0.12,101.05,502.3,35.3,0.0351
SUS304,cbn,water_soluble,8,2,129.2,0.123,3.18,2.54,5140.0,1267.0,10.26,794.2,16.1,3.6,0.0775
S45C,hss,oil,25,6,158.6,0.153,6.68,11.16,2019.0,1853.0,138.28,21798.45,4.6,2.6,0.1773
A5052,cbn,water_soluble,20,6,220.5,0.166,2.89,3.2,3509.0,3503.0,32.34,1173.32,63.6,16.4,0.0917
FC250,cermet,oil,25,3,108.7,0.163,9.86,22.94,1383.0,676.0,152.83,21097.78,31.4,18.0,0.1759
S45C,hss,dry,10,4,215.7,0.143,4.79,6.01,6867.0,3927.0,113.14,5244.74,4.9,2.0,0.1043
FC250,cermet,water_soluble,20,6,149.3,0.209,8.08,9.9,2376.0,2975.0,237.99,19126.82,12.0,7.0,0.1617
SUS304,cbn,dry,6,6,135.7,0.184,1.6,4.73,7200.0,7951.0,60.27,3330.6,6.2,2.2,0.1171
FC250,cermet,mql,6,6,117.6,0.25,9.69,24.99,6238.0,9344.0,2263.45,69301.45,20.1,8.4,0.1374
SKD11,cbn,water_soluble,25,4,90.1,0.103,0.66,1.82,1147.0,470.0,0.57,236.52,52.0,1.8,0.0156
S45C,cermet,water_soluble,12,2,219.9,0.102,4.1,11.99,5833.0,1195.0,58.75,3206.19,4.8,5.4,0.3876
FC250,cermet,water_soluble,8,3,136.5,0.255,4.86,5.54,5433.0,4163.0,112.17,3943.27,19.4,8.5,0.1122
