case,run,VB_mm,DOC_mm,feed_mm_min,material,smcAC_mean,smcAC_std,smcDC_mean,vib_table_rms,vib_spindle_rms,ae_table_rms
2,2,0.00014000000000000001,0.75,0.5,1,-0.1763,1.0774,4.0441,0.8111,0.4711,0.1563
2,3,0.00014000000000000001,0.75,0.5,1,-0.1798,1.0872,4.0895,0.8297,0.4686,0.1591
2,4,0.00014000000000000001,0.75,0.5,1,-0.172,1.1587,4.3427,1.1311,0.3841,0.1486
2,5,0.00015,0.75,0.5,1,-0.1719,1.2425,4.6271,1.0819,0.3399,0.1079
2,6,,0.75,0.5,1,-0.1722,1.2518,4.6673,0.9932,0.3653,0.1666
2,7,0.00017999999999999998,0.75,0.5,1,-0.1667,1.3301,4.9851,0.7811,0.3413,0.1659
2,8,0.00022,0.75,0.5,1,-0.1671,1.4386,5.3473,0.9309,0.365,0.1756
2,9,0.00026000000000000003,0.75,0.5,1,-0.1635,1.6031,5.9614,0.8854,0.3159,0.1825
2,10,0.00031,0.75,0.5,1,-0.1609,1.7032,6.2446,0.8382,0.3377,0.2005
2,11,0.00038,0.75,0.5,1,-0.1613,1.8906,7.0578,0.5716,0.3373,0.2135
2,12,0.00043,0.75,0.5,1,-0.163,1.9106,7.1357,0.8329,0.3244,0.2316
2,13,0.00047999999999999996,0.75,0.5,1,-0.1576,2.135,7.9362,0.5398,0.2844,0.251
2,14,0.00055,0.75,0.5,1,-0.1581,2.1496,7.7128,0.4778,0.277,0.2637
3,1,0.0,0.75,0.25,1,-0.1841,0.864,3.3854,1.3218,0.2837,0.137
3,2,0.00013000000000000002,0.75,0.25,1,-0.1728,0.856,3.2884,0.9936,0.2906,0.1393
3,3,0.00013000000000000002,0.75,0.25,1,-0.1775,0.9239,3.527,0.8441,0.2859,0.1439
3,5,0.00017,0.75,0.25,1,-0.1592,1.0022,3.8786,0.8719,0.3228,0.1586
3,6,0.00019,0.75,0.25,1,-0.1629,1.0845,4.2252,1.057,0.3204,0.1577
3,7,0.0002,0.75,0.25,1,-0.1674,1.0525,4.0408,0.7619,0.3081,0.1652
3,8,0.00023,0.75,0.25,1,-0.1689,1.2147,4.6786,0.6549,0.2818,0.1646
3,9,0.00023,0.75,0.25,1,-0.1625,1.1919,4.3836,0.7325,0.2756,0.1674
3,10,0.00026000000000000003,0.75,0.25,1,-0.1613,1.4241,5.4386,0.5803,0.2934,0.1935
3,11,0.00028000000000000003,0.75,0.25,1,-0.1625,1.4717,5.5892,0.7681,0.2715,0.1957
3,12,0.00033,0.75,0.25,1,-0.1555,1.593,6.0367,0.5595,0.2635,0.2177
3,14,0.00035999999999999997,0.75,0.25,1,-0.1595,1.571,5.9392,0.5244,0.2364,0.2167
3,15,0.00044,0.75,0.25,1,-0.1619,1.6972,6.3164,0.6216,0.265,0.2402
3,16,0.00055,0.75,0.25,1,-0.1524,1.8811,7.1169,0.5233,0.2794,0.2451
4,1,8e-05,1.5,0.25,1,-0.1664,1.2258,4.6329,1.4774,0.2997,0.1798
4,2,0.00013000000000000002,1.5,0.25,1,-0.1576,1.4341,5.4188,1.1225,0.2895,0.1832
4,3,0.0002,1.5,0.25,1,-0.1597,1.452,5.489,1.5296,0.286,0.1921
4,4,0.00031,1.5,0.25,1,-0.1535,1.6332,6.1682,0.9601,0.2886,0.2157
4,5,0.00035,1.5,0.25,1,-0.1544,1.676,6.3004,0.7838,0.2791,0.2108
4,6,0.0004,1.5,0.25,1,-0.1549,1.9882,7.4669,1.1053,0.2976,0.2785
4,7,0.00049,1.5,0.25,1,-0.1614,2.0995,7.9426,0.7654,0.2868,0.2837
9,1,0.0,1.5,0.5,1,-0.1636,1.4064,5.1741,2.0147,0.3116,0.1785
9,2,0.0001,1.5,0.5,1,-0.1657,1.4023,5.1662,1.5424,0.3084,0.1854
9,3,0.00014000000000000001,1.5,0.5,1,-0.152,1.7588,6.4548,1.6136,0.3544,0.1961
9,4,0.00019,1.5,0.5,1,-0.1555,2.0063,7.3551,1.7086,0.3318,0.2099
9,5,0.00027,1.5,0.5,1,-0.148,2.2423,7.7441,1.1059,0.3054,0.2411
9,6,0.00038,1.5,0.5,1,-0.1529,2.4133,7.856,0.8938,0.3013,0.265
9,7,0.00047,1.5,0.5,1,-0.153,2.6659,8.07,0.8281,0.2977,0.2916
9,8,0.00064,1.5,0.5,1,-0.1438,2.8697,8.1646,0.7805,0.2988,0.3191
9,9,0.0008100000000000001,1.5,0.5,1,-0.1489,3.0579,8.2685,0.7281,0.2884,0.3525
10,1,0.0,1.5,0.25,1,-0.1687,1.2672,4.7336,1.1918,0.2976,0.1571
10,2,4e-05,1.5,0.25,1,-0.1669,1.2985,4.9176,1.0562,0.303,0.1646
10,3,8e-05,1.5,0.25,1,-0.1645,1.4661,5.5483,0.9964,0.2885,0.1744
10,4,0.00016,1.5,0.25,1,-0.1609,1.6278,6.1561,1.0003,0.3004,0.2009
10,5,0.00025,1.5,0.25,1,-0.1551,1.8093,6.7592,0.8519,0.2907,0.2208
10,6,0.00035999999999999997,1.5,0.25,1,-0.1584,1.9683,7.3742,0.8334,0.287,0.2485
10,7,0.00043,1.5,0.25,1,-0.1552,2.1766,8.1603,0.666,0.2821,0.2665
10,8,0.00047,1.5,0.25,1,-0.1584,2.3498,8.4169,0.7813,0.281,0.2855
10,9,0.00053,1.5,0.25,1,-0.1197,2.4925,8.5167,0.557,0.2792,0.3176
10,10,0.0007,1.5,0.25,1,-0.1533,2.4231,7.403,0.5033,0.2959,0.3123
11,1,0.0,0.75,0.25,1,-0.1757,0.842,3.2391,0.9938,0.3054,0.1384
11,2,4e-05,0.75,0.25,1,-0.1776,0.8434,3.2458,0.8724,0.3019,0.1411
11,3,7.000000000000001e-05,0.75,0.25,1,-0.1789,0.8999,3.4636,0.9034,0.2904,0.1317
11,4,7.000000000000001e-05,0.75,0.25,1,-0.1785,0.9808,3.7725,0.855,0.2887,0.1345
11,5,8e-05,0.75,0.25,1,-0.1785,0.9797,3.7709,1.2967,0.3076,0.132
11,6,8.999999999999999e-05,0.75,0.25,1,-0.1693,1.0354,3.9604,1.1193,0.291,0.1347
11,7,,0.75,0.25,1,-0.172,1.0868,4.1761,0.852,0.2858,0.1437
11,8,0.00011999999999999999,0.75,0.25,1,-0.175,1.1538,4.4158,0.7738,0.2949,0.15
11,9,0.00016,0.75,0.25,1,-0.1686,1.0991,4.2297,0.8587,0.31,0.1465
11,10,0.00017999999999999998,0.75,0.25,1,-0.1709,1.1465,4.4024,0.8071,0.2808,0.1495
11,11,0.0002,0.75,0.25,1,-0.1738,1.1649,4.4971,0.7819,0.2903,0.1597
11,12,0.00023,0.75,0.25,1,-0.1621,1.1711,4.505,1.0411,0.3163,0.1624
11,13,0.00026000000000000003,0.75,0.25,1,-0.1698,1.3339,5.1481,0.627,0.2877,0.1631
11,14,,0.75,0.25,1,-0.1668,1.3153,5.0659,0.6624,0.2815,0.1749
11,15,0.00031,0.75,0.25,1,-0.1707,1.3013,4.9925,0.5449,0.2815,0.1868
11,16,0.00037,0.75,0.25,1,-0.1655,1.2741,4.8865,0.8603,0.2877,0.1831
11,17,,0.75,0.25,1,-0.167,1.3988,5.3877,0.7224,0.274,0.2057
11,18,0.00041999999999999996,0.75,0.25,1,-0.1655,1.4867,5.6887,0.5559,0.2739,0.2152
11,19,0.00047,0.75,0.25,1,-0.1586,1.7112,6.4994,0.6798,0.2711,0.2012
11,20,0.00057,0.75,0.25,1,-0.1631,1.6532,6.3321,0.5573,0.2692,0.2465
11,21,0.00065,0.75,0.25,1,-0.1595,1.753,6.6326,0.5754,0.273,0.2279
11,22,0.00068,0.75,0.25,1,-0.1587,1.8478,7.0062,0.3163,0.2718,0.2583
11,23,0.00076,0.75,0.25,1,-0.1657,1.6304,6.081,0.2971,0.2724,0.2444
12,1,,0.75,0.5,1,0.1804,22.3592,0.1804,31.6217,22.3599,0.0
12,2,5e-05,0.75,0.5,1,-0.171,0.8576,3.2439,1.0297,0.3161,0.156
12,3,8e-05,0.75,0.5,1,-0.1716,0.9924,3.7317,1.2158,0.3049,0.17
12,4,,0.75,0.5,1,-0.1728,1.1096,4.1778,1.0042,0.2934,0.1807
12,5,0.00011999999999999999,0.75,0.5,1,-0.1699,1.2409,4.6485,0.8938,0.3135,0.1842
12,6,0.00017,0.75,0.5,1,-0.1704,1.3511,5.0629,0.4872,0.3031,0.1913
12,7,0.0002,0.75,0.5,1,-0.1679,1.4526,5.4525,0.6018,0.2918,0.2174
12,8,0.00023999999999999998,0.75,0.5,1,-0.1683,1.5495,5.8206,0.5291,0.278,0.2328
12,9,0.00032,0.75,0.5,1,-0.1651,1.7712,6.6401,0.6515,0.2787,0.2268
12,10,,0.75,0.5,1,-0.1611,1.745,6.5536,0.603,0.2805,0.2248
12,11,0.0004,0.75,0.5,1,-0.1563,1.8244,6.802,0.7603,0.2762,0.2188
12,12,0.00045,0.75,0.5,1,-0.1557,1.796,6.62,0.5927,0.282,0.221
12,13,0.00049,0.75,0.5,1,-0.1602,1.9081,7.112,0.4439,0.27,0.221
12,14,0.00058,0.75,0.5,1,-0.157,2.096,7.8131,0.3638,0.2638,0.222
12,15,0.00065,0.75,0.5,1,-0.1572,2.2315,8.1086,0.3345,0.2603,0.2564
5,1,0.0,1.5,0.5,2,-0.1621,1.7636,6.4072,1.3354,0.3107,0.1835
5,2,0.00016,1.5,0.5,2,-0.1852,2.1238,7.4817,0.9767,0.2843,0.1995
5,3,0.00029,1.5,0.5,2,-0.1986,2.0672,7.2883,0.924,0.2855,0.2022
5,4,0.00044,1.5,0.5,2,-0.1624,2.7586,8.1196,1.1412,0.2755,0.272
5,5,0.00053,1.5,0.5,2,-0.1513,2.9957,8.2007,1.0564,0.2758,0.2837
5,6,0.00074,1.5,0.5,2,-0.15,3.4678,8.2229,1.1776,0.2758,0.2876
6,1,0.0,1.5,0.25,2,-0.1655,1.371,5.1988,0.8354,0.2765,0.0207
7,1,0.0,0.75,0.25,2,-0.1761,0.8605,3.3441,0.5644,0.3063,0.1185
7,2,8.999999999999999e-05,0.75,0.25,2,-0.1753,0.9707,3.7724,0.654,0.3329,0.1246
7,3,0.00013000000000000002,0.75,0.25,2,-0.1793,1.046,4.0169,0.7133,0.2965,0.1067
7,4,0.00022,0.75,0.25,2,-0.1725,1.248,4.7975,0.9571,0.3233,0.0216
7,5,0.00023999999999999998,0.75,0.25,2,-0.1633,1.2697,4.7492,0.9716,0.3027,0.1489
7,6,0.00034,0.75,0.25,2,-0.1619,1.3725,5.2247,1.03,0.3179,0.1509
7,7,0.00046,0.75,0.25,2,-0.1604,1.4295,5.4656,1.2593,0.3083,0.1505
7,8,,0.75,0.25,2,-0.1599,1.4469,5.4481,1.0206,0.2929,0.1579
8,1,0.0,0.75,0.5,2,-0.1684,1.2371,4.6174,0.792,0.3273,0.1355
8,2,0.00017999999999999998,0.75,0.5,2,-0.1653,1.3587,5.0672,0.8801,0.3097,0.1544
8,3,0.0003,0.75,0.5,2,-0.1605,1.5755,5.8464,1.0522,0.3035,0.0766
8,4,,0.75,0.5,2,-0.1638,1.575,5.844,1.0713,0.3125,0.1667
8,5,0.00044,0.75,0.5,2,-0.1622,1.6351,6.0638,1.0111,0.2813,0.173
8,6,0.00062,0.75,0.5,2,-0.1628,1.7992,6.628,1.3139,0.2751,0.1765
13,1,,0.75,0.25,2,-0.1737,0.9825,3.7423,0.6809,0.3018,0.1115
13,2,,0.75,0.25,2,-0.1753,0.9357,3.6453,0.5872,0.2987,0.1154
13,3,0.0001,0.75,0.25,2,-0.167,1.0056,3.9202,0.6361,0.2841,0.1036
13,4,0.00013000000000000002,0.75,0.25,2,-0.1787,1.0897,4.2346,0.658,0.2865,0.1243
13,5,0.00017,0.75,0.25,2,-0.1811,1.1813,4.5338,0.6727,0.2881,0.1229
13,6,0.00032,0.75,0.25,2,-0.1723,1.3853,5.3186,0.9862,0.2841,0.1399
13,7,0.00038,0.75,0.25,2,-0.1714,1.4798,5.7337,1.0009,0.28,0.1436
13,8,0.00049,0.75,0.25,2,-0.1684,1.5241,5.8313,1.0014,0.2745,0.1527
13,9,0.0005600000000000001,0.75,0.25,2,-0.1688,1.5899,6.0393,0.9377,0.2831,0.1481
13,10,0.00068,0.75,0.25,2,-0.1609,1.8567,7.0846,1.2933,0.2687,0.1649
13,11,0.00083,0.75,0.25,2,-0.1555,2.0054,7.7252,1.1908,0.2707,0.1827
13,12,0.00092,0.75,0.25,2,-0.1593,2.0889,7.953,1.0619,0.2685,0.1878
13,13,0.00107,0.75,0.25,2,-0.1628,2.146,8.155,0.919,0.2668,0.1996
13,14,0.0013,0.75,0.25,2,-0.1577,2.4118,8.5412,1.046,0.2691,0.1941
13,15,0.0015300000000000001,0.75,0.25,2,-0.1582,2.4518,8.8702,0.7639,0.2684,0.2026
14,1,,0.75,0.5,2,-0.1639,1.254,4.6881,0.8769,0.3161,0.1396
14,2,8.999999999999999e-05,0.75,0.5,2,-0.1657,1.4407,5.3903,0.791,0.3087,0.155
14,3,0.00017,0.75,0.5,2,-0.1707,1.6083,5.992,1.2624,0.3157,0.1608
14,4,0.00023999999999999998,0.75,0.5,2,-0.1681,1.6808,6.2756,1.1543,0.3193,0.1658
14,5,,0.75,0.5,2,-0.1733,1.6445,6.1398,1.1542,0.3037,0.1649
14,6,0.00035,0.75,0.5,2,-0.164,1.8589,6.8714,0.9707,0.2964,0.1749
14,8,0.0006,0.75,0.5,2,-0.1677,2.2305,7.9026,1.0308,0.2852,0.2213
14,9,0.0008100000000000001,0.75,0.5,2,-0.1565,2.4145,8.0062,0.9359,0.2877,0.2322
14,10,0.00114,0.75,0.5,2,-0.157,2.611,8.0653,1.0283,0.2745,0.2081
15,1,,1.5,0.25,2,-0.1752,1.4646,5.5848,0.7861,0.2824,0.1504
15,2,0.00015,1.5,0.25,2,-0.1626,1.7675,6.7274,0.9607,0.2747,0.1915
15,3,0.00028000000000000003,1.5,0.25,2,-0.161,1.897,7.1904,0.9703,0.2811,0.1979
15,4,0.00037,1.5,0.25,2,-0.158,2.0374,7.6843,0.9701,0.2766,0.2233
15,5,0.00047999999999999996,1.5,0.25,2,-0.157,2.1972,8.3257,0.9911,0.2652,0.1857
15,6,0.0005600000000000001,1.5,0.25,2,-0.1645,2.2118,8.3812,1.1092,0.2736,0.2607
15,7,0.0007,1.5,0.25,2,-0.128,2.4428,8.7286,0.9433,0.2728,0.2907
16,1,,1.5,0.5,2,-0.1679,2.197,7.8104,1.0709,0.3226,0.2163
16,2,,1.5,0.5,2,-0.1516,2.347,7.8451,0.868,0.3189,0.213
16,3,0.00023999999999999998,1.5,0.5,2,-0.1558,2.4928,7.9024,1.2581,0.304,0.2255
16,4,,1.5,0.5,2,-0.1538,2.6652,8.0139,1.3824,0.2993,0.2856
16,5,0.0004,1.5,0.5,2,-0.1527,2.7239,8.0744,1.1632,0.2909,0.2872
16,6,0.00062,1.5,0.5,2,-0.1428,2.7192,8.0169,1.0089,0.2802,0.2516
